scope_reason,award_id,piid,operator_raw,operator_relation,naics_code,naics_description,pop_city,pop_state,pop_country,fiscal_year,obligated_amount,description,source_file
remote_sites,CONT_AWD_1AYH_9700_SPM50005DBP07_9700,1AYH,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,4261.0,4515317819!SPRINKLER HEAD 6EA,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BAG_9700_SPM50005DBP07_9700,1BAG,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,3943.0,"4515322585!AIR CONDITIONER 15,",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BAN_9700_SPM50005DBP07_9700,1BAN,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,3795.0,4515365857!EMERGENCY BATTERY P,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BBD_9700_SPM50005DBP07_9700,1BBD,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,15151.0,4515280902!VALVE GATE 1/2&QUOT,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BBE_9700_SPM50005DBP07_9700,1BBE,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,4367.0,4515280892!VALVE GATE LOCKABLE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BBH_9700_SPM50005DBP07_9700,1BBH,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,5116.0,4515280859!VALVE GATE 2&QUOT;,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BDP_9700_SPM50005DBP07_9700,1BDP,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,47105.0,"4515693762!BURNER,B60-2 OIL,11",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BEC_9700_SPM50005DBP07_9700,1BEC,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,10169.0,4515624398!AIR CONDITION CONDE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BED_9700_SPM50005DBP07_9700,1BED,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,7622.0,4515624410!AIR HANDLING UNIT I,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BHK_9700_SPM50005DBP07_9700,1BHK,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,9047.0,4515280849!AIR CONDITION SPLIT,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BHL_9700_SPM50005DBP07_9700,1BHL,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2011.0,5399.1,"4516821037!HEATER,HOT WATER,68GAL",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BHM_9700_SPM50005DBP07_9700,1BHM,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2011.0,5001.72,4516808954!HEATER HOT WATER 300GPH,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BHP_9700_SPM50005DBP07_9700,1BHP,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2011.0,8949.02,4516821045!HEATER WATER LIQUID FUEL,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1BHR_9700_SPM50005DBP07_9700,1BHR,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2011.0,4803.51,"4516810035!HEATER HOT WATER 252,000 BTU/HR OUTPUT",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
