venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q108670914,Tribeca Skatepark,recreation,New York City,wikidata_unverified,NY,,,,,,Q108670914,,wikidata,,False,False,3,0,Tribeca Skatepark | Pier 25 | Pier 25 Tribeca Skatepark
wd-Q108670973,Maloof Skate Park (Flushing Meadows–Corona Park),recreation,Queens,wikidata_unverified,NY,,,,,,Q108670973,,wikidata,,False,True,2,0,Maloof Skate Park (Flushing Meadows–Corona Park) | Maloof Skate Park
wd-Q108749237,"US Naval Radio School (Noroton Heights, Connecticut)",other,Noroton Heights,wikidata_unverified,CT,,,,,,Q108749237,,wikidata,,False,False,1,0,"US Naval Radio School (Noroton Heights, Connecticut)"
wd-Q108888445,Wickenburg High School Gym,recreation,Wickenburg,incorporated_places,AZ,33.9675,-112.726667,,,,Q108888445,,wikidata,,False,False,1,0,Wickenburg High School Gym
wd-Q108907111,Virtue Field,stadium,Burlington,incorporated_places,VT,44.4681,-73.1944,,,2600,Q108907111,,wikidata,,True,False,2,0,Virtue Field | Virtue Field at Archie Post Athletic Complex
wd-Q108919244,Enmarket Arena,stadium,Savannah,incorporated_places,GA,32.0741,-81.1116,2022-02-01,,,Q108919244,,wikidata,,True,False,1,0,Enmarket Arena
wd-Q108990558,Old Armory,recreation,Ithaca,incorporated_places,NY,42.444561884,-76.484685415,1883-01-01,1954-01-01,,Q108990558,,wikidata,,False,False,2,0,Old Armory | Armory
wd-Q109016919,Hiawatha Golf Course Ski Trail,other,Minneapolis,wikidata_unverified,MN,,,,,,Q109016919,,wikidata,,False,False,1,0,Hiawatha Golf Course Ski Trail
wd-Q109107781,Perry High School,other,Perry,incorporated_places,MI,42.833538977,-84.211194046,,,,Q109107781,,wikidata,,False,False,1,0,Perry High School
wd-Q109154712,Horizon Park,other,Kenosha,incorporated_places,WI,42.577292871,-87.943775324,,,,Q109154712,,wikidata,,False,False,1,0,Horizon Park
wd-Q109252173,Joe P. DeMichela Stadium,stadium,Imperial,census_designated_places,PA,40.450188624,-80.239362269,,,,Q109252173,way/1057682050,wikidata,0.069,True,False,1,0,Joe P. DeMichela Stadium
wd-Q109412412,Taos Ski Valley,ski_resort,Taos Ski Valley,wikidata_unverified,NM,,,,,,Q109412412,,wikidata,,False,False,1,0,Taos Ski Valley
wd-Q109535071,J.S. Coyne Stadium,stadium,Syracuse,incorporated_places,NY,43.02421,-76.12634,1975-08-12,,,Q109535071,,wikidata,,True,False,4,0,J.S. Coyne Stadium | Coyne Field | Coyne Stadium | J. S. Coyne Field
wd-Q109550275,Taffner Field House,arena,New York,incorporated_places,NY,40.7238873,-73.7954655,2005-01-01,,,Q109550275,,wikidata,,True,False,1,0,Taffner Field House
wd-Q109564845,Anchorage Golf Course,golf_course,Anchorage,incorporated_places,AK,61.12649505,-149.815221504,,,,Q109564845,,wikidata,,False,False,1,0,Anchorage Golf Course
wd-Q109564846,Bear Valley Golf Course,golf_course,Kodiak,wikidata_unverified,AK,,,,,,Q109564846,,wikidata,,False,False,1,0,Bear Valley Golf Course
wd-Q109564847,Birch Ridge Golf Course,golf_course,Soldotna,incorporated_places,AK,60.4870248,-151.0564692,,,,Q109564847,,wikidata,,False,False,1,0,Birch Ridge Golf Course
wd-Q109564848,Bird Homestead Golf Course,golf_course,Soldotna,wikidata_unverified,AK,,,,,,Q109564848,,wikidata,,False,False,1,0,Bird Homestead Golf Course
wd-Q109564849,Black Diamond Golf Course,golf_course,Healy,wikidata_unverified,AK,,,,,,Q109564849,,wikidata,,False,False,1,0,Black Diamond Golf Course
wd-Q109564850,Chena Bend Golf Course,golf_course,Fort Wainwright,wikidata_unverified,AK,,,,,,Q109564850,,wikidata,,False,False,1,0,Chena Bend Golf Course
wd-Q109564851,Cottonwood Country Club,golf_course,Nikiski,wikidata_unverified,AK,,,,,,Q109564851,,wikidata,,False,False,1,0,Cottonwood Country Club
wd-Q109564852,Eagleglen Golf Course,golf_course,Elmendorf Air Force  Base,wikidata_unverified,AK,,,,,,Q109564852,,wikidata,,False,False,1,0,Eagleglen Golf Course
wd-Q109564853,Fairbanks Golf & Country Club,golf_course,College,census_designated_places,AK,64.8762416,-147.812400863,,,,Q109564853,,wikidata,,False,False,1,0,Fairbanks Golf & Country Club
wd-Q109564854,Fireweed Meadows Golf Course,golf_course,Anchor Point,wikidata_unverified,AK,,,,,,Q109564854,,wikidata,,False,False,1,0,Fireweed Meadows Golf Course
wd-Q109564855,Fishhook Golf Course,golf_course,Palmer,wikidata_unverified,AK,,,,,,Q109564855,,wikidata,,False,False,1,0,Fishhook Golf Course
wd-Q109564856,Fox Hollow Golf Course,golf_course,Anchorage,incorporated_places,AK,61.11160859,-149.852597154,,,,Q109564856,,wikidata,,False,False,1,0,Fox Hollow Golf Course
wd-Q109564857,Homer Golf Course,golf_course,Kachemak,incorporated_places,AK,59.6674604,-151.450817482,,,,Q109564857,,wikidata,,False,False,1,0,Homer Golf Course
